Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0whmIaItqkT8e5PVuPyhvT,"Perfect (Exceeder)","Perfect (Exceeder)","Mason;Princess Superstar",2007-01-11,161250,65,false,,1970-01-01T00:00:00Z,"electroclash","Armada Music",0.639,0.861,6,-6.595,1,0.0588,0.00449,0.156,0.39,0.671,127.922,4
spotify:track:60V5w1qzVdhHC7rCitskgF,"Hautevolee","Wiener Schickeria","BIBIZA",2023-06-02,165963,33,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle","Columbia/BIBIZA",0.711,0.939,9,-3.353,0,0.224,0.125,0,0.124,0.73,167.057,4
spotify:track:7fzHQizxTqy8wTXwlrgPQQ,"MILLION DOLLAR BABY","MILLION DOLLAR BABY","Tommy Richman",2024-04-26,155151,9,false,,1970-01-01T00:00:00Z,"","ISO Supremacy. Under exclusive license to PULSE Records.",0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,4
spotify:track:7LbUv7w2z7rEbNqp1uIL9U,"Fallingforyou","The 1975 (Deluxe)","The 1975",2013-09-02,240670,69,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.264,0.285,1,-15.208,1,0.0382,0.892,0.000568,0.344,0.0776,84.8,4
spotify:track:2FbTZrdW0KGqH7TOdZRHiP,"Küssen","Küssen","01099;Gustav;Zachi",2024-03-22,139919,53,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher hip-hop,deutscher pop","01099 / Bamboo Artists / WMCE",0.793,0.773,8,-8.306,1,0.124,0.157,0.0353,0.0771,0.8,170.085,4
spotify:track:5ny6LgRh91IgjiQ6UHQKQs,"er kriegt mich nicht","Ärger","Zsá Zsá;Replay Okay",2024-08-30,89253,13,true,,1970-01-01T00:00:00Z,"","0909 Future Club x Ventura Records",0.767,0.72,1,-5.325,0,0.09,0.399,0,0.159,0.591,133.911,4
spotify:track:4WvqHkM4217e14FE9InM59,"Fühlst du gar nichts? (feat. Nina Chuba)","Schlaraffenland","ENNIO;Nina Chuba",2024-09-20,200666,0,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Orgel Enterprise",0.752,0.667,7,-6.203,0,0.09,0.469,0,0.128,0.486,128.16,4
spotify:track:6tNgRQ0K2NYZ0Rb9l9DzL8,"obsessed","GUTS (spilled)","Olivia Rodrigo",2024-03-22,170541,74,true,,1970-01-01T00:00:00Z,"","Olivia Rodrigo PS",0.68,0.581,8,-5.166,1,0.106,0.0181,0.00000107,0.276,0.63,119.974,4
spotify:track:6duUkdeQum9BfyFRtteEcL,"Stille Leitung","Stille Leitung","moé;SOMA",2023-12-01,172142,35,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop","moé",0.575,0.321,11,-11.31,0,0.211,0.625,0.000318,0.104,0.234,83.471,4
spotify:track:2ZpNVf05uVzubaPX6Sd2VK,"Ärger","Ärger","Zsá Zsá",2024-08-30,103563,47,true,,1970-01-01T00:00:00Z,"","0909 Future Club x Ventura Records",0.732,0.742,1,-5.339,1,0.137,0.00442,0.000183,0.357,0.893,149.94,4
spotify:track:6WmIyn2fx1PKQ0XDpYj4VR,"Love It If We Made It","A Brief Inquiry Into Online Relationships","The 1975",2018-11-30,252925,67,true,,1970-01-01T00:00:00Z,"","Polydor Records",0.472,0.745,4,-5.297,1,0.0357,0.000607,0.0000274,0.0957,0.063,180.06,4
spotify:track:0RVfdPEGEAXiPUQPC9J8Yz,"wach","jung und verbraucht","Tiavo",2023-12-08,167662,10,true,,1970-01-01T00:00:00Z,"neue deutsche welle,deutscher indie,deutscher hip-hop,deutscher indie pop","Modern Angst",0.55,0.838,7,-5.313,0,0.0499,0.00755,0.00112,0.25,0.711,168.993,4
spotify:track:5vK9ch4rzr7KK6nW6nmRom,"Stille Leitung - Acoustic","Stille Leitung","moé;SOMA",2024-02-09,147750,28,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop","moé",0.663,0.358,2,-10.231,1,0.143,0.689,0,0.292,0.593,79.761,3
spotify:track:3Vw4SxsPsVwG4xwK3Il0mP,"PIROUETTEN","berq","Berq",2024-10-24,147811,60,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Urban",0.664,0.341,4,-8.208,0,0.0448,0.79,0,0.329,0.218,120.81,4
