Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4S4Amrpr631M16IIXqRk73,"saudade, saudade","Festival Da Canção 2022","MARO",2022-01-21,181226,50,false,,1970-01-01T00:00:00Z,"","Universal Music Portugal SA Distributed Labels",0.644,0.337,10,-11.261,0,0.0357,0.681,0.000208,0.108,0.376,82.992,3
spotify:track:1o4aRGe71nqg95IEceh1ms,"Whole Again","Whole Again","Daði Freyr",2023-05-13,182946,46,false,,1970-01-01T00:00:00Z,"","Samlist",0.683,0.616,10,-7.905,1,0.0904,0.122,0.000237,0.0627,0.194,176.919,4
spotify:track:5nq0wConoTHndauu719R2I,"Ніч яка місячна (feat. Tember Blanche)","Ніч яка місячна (feat. Tember Blanche)","mine;Tember Blanche",2023-07-21,221007,15,false,,1970-01-01T00:00:00Z,"","Tember Blanche",0.468,0.563,11,-8.292,0,0.0302,0.723,0.000363,0.0825,0.337,139.033,4
spotify:track:1A4pbfIyAuyZkIrRr4tK2X,"BEFORE THE PARTY'S OVER","BEFORE THE PARTY'S OVER","Mustii",2024-02-20,179923,46,false,,1970-01-01T00:00:00Z,"","[PIAS] Recordings Belgium",0.513,0.698,2,-6.113,0,0.0398,0.0748,0.00000356,0.0764,0.305,93.015,4
spotify:track:4ypCNolz6aRYZPO3UOGp8Z,"ZORRA","ZORRA","Nebulossa",2023-12-15,183577,57,true,,1970-01-01T00:00:00Z,"","ATOMIC RECORDS",0.707,0.653,9,-6.149,0,0.0323,0.00413,0.000287,0.113,0.779,129.994,4
spotify:track:5N3hjp1WNayUPZrA8kJmJP,"Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,186365,79,true,,1970-01-01T00:00:00Z,"pop","Island Records",0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
spotify:track:7484E6x2T7Zub9RR1Rurgt,"Пізно","Пізно","Tember Blanche",2022-12-30,206222,14,false,,1970-01-01T00:00:00Z,"","Tember Blanche",0.515,0.164,6,-14.056,0,0.0344,0.889,0.00199,0.126,0.149,134.955,4
spotify:track:2zhBeIoGEqISdQOu4HtQZc,"Grito","Festival da Canção 2024","IOLANDA",2024-01-18,176447,36,false,,1970-01-01T00:00:00Z,"","Universal Music Portugal SA Distributed Labels",0.39,0.476,3,-9.187,0,0.0628,0.405,0,0.154,0.166,151.575,3
spotify:track:4HyErKNjuF8wDm8ROGQS2I,"Вовк","Один в каное","Odyn v Kanoe",2021-06-06,306198,21,false,,1970-01-01T00:00:00Z,"","Kanoemusic",0.593,0.397,9,-10.407,1,0.0286,0.569,0.266,0.109,0.288,141.971,4
spotify:track:7C6fbDpUiEuUDc3QYznUhy,"Очерет","Перехрестя 51","Схожа",2022-09-16,186500,31,false,,1970-01-01T00:00:00Z,"","Plan",0.683,0.527,6,-8.706,0,0.065,0.235,0,0.164,0.365,130.149,4
spotify:track:32nxxRcrH6gqlVG2RYYMEN,"Cruel","MAGIC MAN","Jackson Wang",2022-09-09,195020,0,false,,1970-01-01T00:00:00Z,"k-pop","TEAM WANG records/88rising Music/Warner Records",0.588,0.494,11,-7.129,0,0.0309,0.00137,0.000114,0.156,0.539,78.99,4
spotify:track:1lRFP08SSrTCdmjfRK40t1,"perfeita","perfeita","GIULIA BE",2023-06-21,195436,40,false,,1970-01-01T00:00:00Z,"brasilianischer pop","WM Brazil",0.544,0.35,7,-11.382,0,0.0305,0.364,0,0.194,0.158,102.818,4
spotify:track:7IhWonxWkICocpHvdYh27S,"Прекрасний оповідач","Один в каное","Odyn v Kanoe",2021-06-06,194133,26,false,,1970-01-01T00:00:00Z,"","Kanoemusic",0.497,0.469,9,-8.826,0,0.0495,0.638,0,0.116,0.665,99.929,4
spotify:track:6wATvZ1kvjCP3gkgEwHTQf,"Сяй","2021","Схожа;Марний",2021-05-28,117264,22,false,,1970-01-01T00:00:00Z,"","Plan",0.459,0.611,6,-6.586,1,0.0476,0.192,0.00000185,0.0993,0.145,169.998,4
spotify:track:21bgjqpDyPxq0jLyqEtBqp,"Kiosk Yüksel","Nacht","ENGIN",2023-05-12,225675,0,true,,1970-01-01T00:00:00Z,"anatolischer rock","Engin",0.551,0.639,4,-6.022,0,0.031,0.00438,0.000114,0.0938,0.585,106.114,4
