Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7EVmjwaUVwhepnIpSUZMKh,"Rivellon","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,137003,45,false,,1970-01-01T00:00:00Z,"mittelalter","Black Screen Records",0.498,0.258,7,-12.469,1,0.0339,0.848,0.839,0.134,0.0983,119.96,4
spotify:track:08HAsedFOMxs7NETNXPZ3K,"Baller","Bittersüß (Baller Deluxe)","Abor & Tynna",2025-05-16,159493,35,false,,1970-01-01T00:00:00Z,"","Jive",0.732,0.835,0,-4.399,0,0.0553,0.0571,0,0.202,0.829,137.904,4
spotify:track:1imPa2lzxmLKggLCpkBAoo,"Tavo akys","Tavo akys","Katarsis",2025-01-31,172800,53,false,,1970-01-01T00:00:00Z,"","Katarsis, Žiauru",0.507,0.759,9,-4.948,0,0.0346,0.00472,0.000137,0.0755,0.221,110.077,4
spotify:track:7ne4VBA60CxGM75vw0EYad,"That’s So True","The Secret of Us (Deluxe)","Gracie Abrams",2024-10-18,166300,90,true,,1970-01-01T00:00:00Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
spotify:track:30k0WUGuf3QCotkXbxnrOx,"Hart In Brand","Hart In Brand","Froukje;S10",2025-04-22,146400,61,true,,1970-01-01T00:00:00Z,"nederpop","Noah's Ark BV",0.787,0.734,11,-5.058,0,0.0402,0.0601,0,0.343,0.947,124.987,4
spotify:track:4w2GLmK2wnioVnb5CPQeex,"360","BRAT","Charli xcx",2024-06-07,133805,76,true,,1970-01-01T00:00:00Z,"hyperpop,art pop","Atlantic Records",0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042,4
spotify:track:6lKGmg6Lc35LgIPi1BMG1P,"Один в полі воїн","Один в полі воїн","Odyn v Kanoe",2023-02-19,234000,32,false,,1970-01-01T00:00:00Z,"","Kanoemusic",0.646,0.558,10,-8.535,0,0.0355,0.724,0.00000201,0.122,0.577,84.034,4
spotify:track:5Qq9uvUXZU5zNDh0MlkBu8,"Fantastic (from the series Arcane League of Legends)","Fantastic (from the series Arcane League of Legends)","King Princess;Arcane;League of Legends",2024-11-23,184960,59,true,,1970-01-01T00:00:00Z,"","Riot Games",0.555,0.636,5,-6.569,1,0.0271,0.00435,0.000674,0.153,0.286,106.003,4
spotify:track:7uX5nGsuQtviIx5bbGK2c2,"Katana","Bittersüß (Baller Deluxe)","Abor & Tynna",2025-05-16,151893,29,false,,1970-01-01T00:00:00Z,"","Jive",0.665,0.776,6,-6.884,1,0.11,0.282,0.000273,0.0932,0.614,105.969,4
spotify:track:1wGXOlPZRHL2BxOwHCggFz,"Coco Taxi","Bittersüß (Baller Deluxe)","Abor & Tynna",2025-05-16,140526,30,true,,1970-01-01T00:00:00Z,"","Jive",0.731,0.702,0,-7.891,0,0.183,0.436,0.0000186,0.125,0.555,152.157,4
spotify:track:7a4s38cE2CYh6qAtWWiMcs,"Winnetou","Bittersüß (Baller Deluxe)","Abor & Tynna",2025-05-16,183893,30,false,,1970-01-01T00:00:00Z,"","Jive",0.537,0.976,1,-4.378,0,0.0868,0.0742,0.000433,0.132,0.652,159.942,4
spotify:track:265NTGkEQbGThMjjcvhwfS,"Mona Lisa","Bittersüß (Baller Deluxe)","Abor & Tynna",2025-05-16,139800,29,false,,1970-01-01T00:00:00Z,"","Jive",0.65,0.643,9,-6.144,1,0.0683,0.472,0,0.438,0.621,111.977,4
