Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0xlrz9Fm5ozYSwS0OPFNqM,"Tokyo -Daybreak- (From ""Shin Megami Tensei V"")","Tokyo -Daybreak- (From ""Shin Megami Tensei V"")","Rohan Adiyodi",2022-04-29,267272,3,false,,1970-01-01T00:00:00Z,"","Rohan Adiyodi",0.588,0.593,4,-9.078,0,0.0269,0.271,0.891,0.278,0.274,99.014,4
spotify:track:31cNfeFWpJYJ0rPeLTzXDk,"Something Memorable","Furi (Original Game Soundtrack)","Kn1ght",2016-07-05,359459,32,false,,1970-01-01T00:00:00Z,"synthwave","G4F Records",0.581,0.888,6,-8.148,0,0.0475,0.000785,0.676,0.0853,0.0606,124.998,4
spotify:track:76P3XTxNLBM3X2mbrzoXmb,"Unterholz","Zerfall","Kind Kaputt",2019-03-22,188137,12,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.525,0.775,7,-9.966,0,0.0321,0.00678,0.00000402,0.17,0.616,108.023,4
spotify:track:088gQXUdODQlu3fwr2eoj9,"Capricorn Woman","Four Seasons","Naomi Akimoto",1984-02-25,242500,32,false,,1970-01-01T00:00:00Z,"city pop,j-r&b","INVITATION",0.803,0.652,0,-8.743,1,0.0531,0.109,0.00000485,0.141,0.774,129.707,4
spotify:track:2Jb3hVkRFoiiwXYcELiBfC,"Figure 8","This Is Why","Paramore",2023-02-10,204966,56,false,,1970-01-01T00:00:00Z,"pop punk,emo","Atlantic Records",0.61,0.778,8,-6.582,0,0.0372,0.000731,0.121,0.131,0.346,130.858,4
spotify:track:24PTr0ied95tTY3uhaiU47,"Turn It Up","Lobes","We Are Scientists",2023-01-20,237613,12,false,,1970-01-01T00:00:00Z,"","Grönland",0.615,0.867,7,-4.62,1,0.0874,0.004,0,0.086,0.681,130.012,4
spotify:track:3ha3AnugUqTYfeI8DxttK0,"Schuld","Zerfall","Kind Kaputt",2019-03-22,246751,13,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.325,0.315,0,-12.87,1,0.0389,0.13,0,0.102,0.334,175.341,3
spotify:track:3exyHC4p8XrgzqovFLNa0j,"School Life","DEVILMAN crybaby (Original Soundtrack)","kensuke ushio",2018-01-10,117760,26,false,,1970-01-01T00:00:00Z,"anime","Aniplex Inc.",0.847,0.383,2,-7.661,1,0.0797,0.413,0.802,0.0466,0.807,99.989,4
spotify:track:0czRI0qwOQDe1tIIrsvkaK,"Distant Dreamer","Rockferry","Duffy",2008,305666,47,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.399,0.604,2,-4.325,1,0.0288,0.00426,0.00126,0.386,0.146,94.962,4
spotify:track:7EUhSxz4srS8pqh1cENbLB,"Liar","This Is Why","Paramore",2023-02-10,261868,56,false,,1970-01-01T00:00:00Z,"pop punk,emo","Atlantic Records",0.51,0.494,6,-10.144,0,0.0319,0.619,0.308,0.109,0.27,147.981,4
spotify:track:5q26bg1ON3DBIKCGK9dCDm,"Vermeiden","Zerfall","Kind Kaputt",2019-03-22,225317,11,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.319,0.88,0,-9.188,0,0.0732,0.00899,0.00000164,0.404,0.178,99.58,3
spotify:track:3SaflIgQwfcdYUN92wda9f,"Hydra","JUDGE EYES & LOST JUDGMENT Original Sound Track","SEGA SOUND TEAM;庄司 英徳",2021-09-24,166081,24,false,,1970-01-01T00:00:00Z,"japanische videospielmusik,soundtrack","SEGA MUSIC",0.514,0.951,1,-6.919,1,0.0517,0.00000973,0.941,0.376,0.271,128.99,4
spotify:track:21dU2S7RlKbFDMgZavSoJD,"Operator Error","Lobes","We Are Scientists",2023-01-20,156080,0,true,,1970-01-01T00:00:00Z,"","100% Records",0.504,0.841,7,-3.765,0,0.0482,0.00492,0,0.046,0.694,150.111,4
spotify:track:6JDMChLzb326JIKoakDFyw,"Letter in a Suitcase","Love & Drugs","Anarbor",2022-09-02,150532,47,false,,1970-01-01T00:00:00Z,"pop punk","Anarbor",0.451,0.735,4,-6.16,0,0.0506,0.324,0.00000772,0.473,0.35,84.48,4
spotify:track:57h2o72eHGJyhig2VG8n3I,"Eingeständnis","Zerfall","Kind Kaputt",2019-03-22,213952,10,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.437,0.521,5,-11.798,1,0.0345,0.00889,0.000837,0.132,0.191,104.905,4
spotify:track:7wYCva1bI1AkHRQoVXhy8F,"Crave","This Is Why","Paramore",2023-02-10,235012,60,false,,1970-01-01T00:00:00Z,"pop punk,emo","Atlantic Records",0.667,0.688,11,-7.206,1,0.0313,0.00716,0.000275,0.167,0.339,131.018,4
spotify:track:5m3MujW4zA1O3qIKREgdn6,"Anamnesis","Holon: Anamnesis","The Hirsch Effekt",2012-08-31,181038,9,false,,1970-01-01T00:00:00Z,"mathcore,progressive metal,djent","Long Branch Records",0.419,0.457,7,-9.054,0,0.0612,0.202,0.00285,0.187,0.0774,88.472,3
spotify:track:6KczrJTEYkWKXZPJFyvkKT,"Arche Gruber","Zores","Drangsal",2018-04-27,234026,21,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle,deutscher pop","Caroline Records",0.529,0.825,11,-6.508,0,0.0321,0.00229,0.00957,0.156,0.357,75.015,4
spotify:track:05pgEBauMA7JUA9TqrYwbW,"Akzeptieren / Nachwort","Zerfall","Kind Kaputt",2019-03-22,350217,11,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.587,0.739,2,-10.826,0,0.067,0.0132,0.000142,0.176,0.218,144.996,4
spotify:track:7HdXRMw14roDx2a0COWk3M,"This Is Why","This Is Why","Paramore",2023-02-10,206700,62,false,,1970-01-01T00:00:00Z,"pop punk,emo","Atlantic Records",0.731,0.807,2,-5.185,1,0.0427,0.00475,0.00328,0.127,0.625,123.052,4
spotify:track:5HxgWJvo0IVSwGVgvdp33D,"Steve McQueen","This Is a Fix","The Automatic",2008-09-15,222173,35,false,,1970-01-01T00:00:00Z,"","B-Unique Records Ltd",0.385,0.979,11,-2.022,1,0.0659,0.000689,0,0.11,0.33,138.052,4
spotify:track:1hqZwOKSqjGkwt4WEFMEDC,"Best Friends (From ""Persona 4 Arena"")","Best Friends (From ""Persona 4 Arena"")","When the Clock Strikes",2016,209951,17,false,,1970-01-01T00:00:00Z,"","When the Clock Strikes",0.381,0.969,0,-2.616,1,0.147,0.000561,0,0.335,0.47,180.057,4
